SMILES Labelled,ConBase_pKa,Reference
[O:10]=C(C)C,-6.2,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[n:10]1c(-c2ccccc2)c(O)[nH+]c(C)c1,-6,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
COC(O)([OH:10])C(F)(F)F,-5.88,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
CCSC(O)([OH:10])C(F)(F)F,-5.65,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[O:10]=C(C)SCC,-5.6,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[n:10]1cc[nH+]cc1,-5.55,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(/c1cccc(Br)c1)\SCC,-5.53,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
C[S:10]C,-5.4,Reich Table
COC=[O:10],-5.21,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[O:10]=C(\c1ccc(C)cc1)/S,-5.19,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(/c(cc1)ccc1Cl)\SCC,-5.02,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
c3ccc([N:10](c1ccccc1)c2ccccc2)cc3,-5.0,"Arnett, E. M.; Quirk, R. P.; Burke, J. J. J. Am. Chem. Soc. 1970, 92, 1260 - 1266."
[O:10]=C(\c(cc1)ccc1OC)/S,-4.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1cc(C)[nH+]cc1,-4.89,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
