SMILES Labelled,ConBase_pKa,pB,qB,Reference
[S-:10]C(C)(C)C(C([O-])=O)[n]1c(C/C=C/CC)nc(C([O-])=O)c1,10.2,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]CCC([O-])=O,10.29,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]C(C)(C)C(C([O-])=O)[n]1c(Cc2ccccc2)ncc1,10.35,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]C(C)(C)C(C([O-])=O)[n]1c(C/C=C/CC)ncc1,10.4,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]CCC,10.56,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]C(CO)C[S-],10.59,1,6,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]CC(C[S-])O,10.65,1,6,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]CCCC,10.78,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]C(C)(C)CN,11,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[S-:10]C(C)(C)C,11.14,1,3,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
